Education_levels,Year,Total
Lower Secondary Education,2008,102695758
Pre-Primary Education,2008,41337468
Primary Education,2008,166345574
Tertiary Education Programmes,2008,60443146
Upper Secondary Education,2008,80297659
Lower Secondary Education,2009,104620486
Pre-Primary Education,2009,42403529
Primary Education,2009,168882780
Tertiary Education Programmes,2009,61068812
Upper Secondary Education,2009,81555199
Lower Secondary Education,2010,104874561
Pre-Primary Education,2010,43702606
Primary Education,2010,171082237
Tertiary Education Programmes,2010,63324497
Upper Secondary Education,2010,83579097
Lower Secondary Education,2011,105123836
Pre-Primary Education,2011,46789340
Primary Education,2011,173928320
Tertiary Education Programmes,2011,65723237
Upper Secondary Education,2011,84205521
Lower Secondary Education,2012,101956235
Pre-Primary Education,2012,48806250
Primary Education,2012,170629426
Tertiary Education Programmes,2012,65821054
Upper Secondary Education,2012,83847510